,timestamp,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,ETH/USDT_zscore
354,2022-12-21,1217.2,1221.27,1204.51,1213.87,84149.42391,-0.27922978643178403
355,2022-12-22,1213.87,1236.46,1183.39,1217.4,116469.15115,-0.1885055591429117
356,2022-12-23,1217.4,1229.69,1210.31,1219.99,99205.4776,-0.13509021519059597
357,2022-12-24,1219.99,1227.75,1214.89,1220.47,38590.64145,-0.11407992539867033
358,2022-12-25,1220.47,1224.0,1195.96,1218.49,140546.81756,-0.1373044617733846
359,2022-12-26,1218.49,1230.0,1212.26,1227.53,82083.01928,0.04159962639535783
360,2022-12-27,1227.53,1233.6,1200.99,1211.67,92344.08933,-0.28899238556235946
361,2022-12-28,1211.67,1214.83,1182.36,1190.06,116636.6358,-0.7160098891587539
362,2022-12-29,1190.06,1206.3,1187.03,1200.74,63508.69229,-0.4883144164736929
363,2022-12-30,1200.74,1202.14,1181.37,1200.06,98993.87643,-0.5501312518572903
364,2022-12-31,1200.06,1208.05,1192.5,1195.82,52021.88022,-0.7445438110818565
365,2023-01-01,1195.82,1204.23,1191.0,1200.39,51078.38167,-0.710428540368459
366,2023-01-02,1200.39,1223.75,1193.33,1213.96,82990.08167,-0.4077600959689589
367,2023-01-03,1213.96,1219.49,1204.9,1214.63,53948.72192,-0.39953347664096617
368,2023-01-04,1214.63,1271.0,1212.7,1256.79,135199.41486,0.5974550558427969
369,2023-01-05,1256.79,1259.58,1243.31,1251.01,50289.51993,0.4290757594171334
370,2023-01-06,1251.01,1276.34,1235.85,1269.3,83579.10291,0.8355803370986913
371,2023-01-07,1269.3,1270.99,1261.72,1264.18,24409.40103,0.6708921138398387
372,2023-01-08,1264.18,1295.07,1258.16,1290.28,112860.45992,1.2670516532697567
373,2023-01-09,1290.28,1344.65,1285.74,1320.52,64881.56349,1.9542542382785475
374,2023-01-10,1320.52,1346.41,1316.69,1335.54,70157.38128,2.1613656461463235
375,2023-01-11,1335.54,1396.73,1321.42,1389.16,118669.55876,2.9861081870085973
376,2023-01-12,1389.16,1436.91,1362.0,1416.32,181280.15538,3.014348469118865
377,2023-01-13,1416.32,1463.8,1401.16,1450.6,59883.37571,3.08827495969836
378,2023-01-14,1450.6,1595.53,1449.42,1549.88,111483.72239,3.648785396762286
379,2023-01-15,1549.88,1566.28,1516.62,1552.52,54785.67174,3.10536695032305
380,2023-01-16,1552.52,1601.72,1522.01,1576.87,49592.0824,2.897869700460195
381,2023-01-17,1576.87,1606.76,1542.64,1565.17,58171.62758,2.486157979092137
382,2023-01-18,1565.17,1609.21,1502.8,1511.75,87926.30382,1.869308548514096
383,2023-01-19,1511.75,1564.49,1509.56,1551.08,60309.43895,2.0224712904156847
384,2023-01-20,1551.08,1667.63,1542.89,1658.66,24354.44889,2.5498133929472555
385,2023-01-21,1658.66,1678.09,1620.61,1625.83,21162.92598,2.114031618194058
386,2023-01-22,1625.83,1663.47,1605.0,1627.41,21021.26347,1.964649319677578
387,2023-01-23,1627.41,1647.67,1586.35,1625.78,24234.59585,1.8184388583534599
388,2023-01-24,1625.78,1640.91,1537.0,1556.25,51334.63993,1.3171915980684363
389,2023-01-25,1556.25,1639.84,1518.63,1611.91,81344.83765,1.5562940634848033
390,2023-01-26,1611.91,1632.18,1579.2,1601.01,48351.11508,1.4097588227473827
391,2023-01-27,1601.01,1620.7,1555.37,1597.76,53073.99725,1.3180300414555524
392,2023-01-28,1597.76,1606.37,1558.29,1572.06,26976.5669,1.1129883909288414
393,2023-01-29,1572.06,1659.0,1567.01,1645.11,65008.43393,1.4495156592517777
394,2023-01-30,1645.11,1647.6,1535.0,1566.16,48303.20758,0.9513597596876753
395,2023-01-31,1566.16,1605.0,1561.71,1586.08,24904.89469,1.0130264935098645
396,2023-02-01,1586.08,1647.76,1555.82,1641.49,72493.63936,1.26144592732454
397,2023-02-02,1641.49,1713.66,1627.61,1643.94,52999.84915,1.2119723709698234
398,2023-02-03,1643.94,1675.4,1626.76,1663.78,34440.82507,1.2584668276907087
399,2023-02-04,1663.78,1695.11,1645.73,1666.38,19927.21222,1.2109141010949283
400,2023-02-05,1666.38,1672.84,1610.0,1629.11,28652.18265,0.9537666609069322
401,2023-02-06,1629.11,1658.02,1605.51,1613.79,26349.82514,0.8251385606840095
402,2023-02-07,1613.79,1678.0,1613.19,1671.32,47034.5505,1.1125737231813024
403,2023-02-08,1671.32,1697.12,1630.86,1651.0,43261.53978,0.9499368677939254
404,2023-02-09,1651.0,1656.01,1524.41,1545.35,86834.31561,0.2615872135013715
405,2023-02-10,1545.35,1554.26,1492.63,1513.19,55435.09867,0.005850210029125068
406,2023-02-11,1513.19,1542.94,1506.42,1538.5,22254.39821,0.12896403818753707
407,2023-02-12,1538.5,1547.71,1494.0,1515.15,44773.79428,-0.09770253842543118
408,2023-02-13,1515.15,1525.09,1462.32,1505.24,53601.4207,-0.23418577070062943
409,2023-02-14,1505.24,1566.39,1490.0,1555.75,12039.58791,0.12183818226265772
410,2023-02-15,1555.75,1680.0,1542.66,1674.97,135853.2163,1.1427956033206532
411,2023-02-16,1674.97,1742.0,1633.96,1638.17,215523.37526,0.7860063772350113
412,2023-02-17,1638.17,1721.99,1631.39,1693.99,173235.18724,1.3679372584091347
413,2023-02-18,1693.99,1712.44,1680.0,1691.63,50592.21166,1.3554257875375526
414,2023-02-19,1691.63,1725.44,1666.4,1681.21,108512.90574,1.2570963895033962
415,2023-02-20,1681.21,1719.68,1651.17,1703.27,122707.16949,1.5664873879921495
416,2023-02-21,1703.27,1716.38,1636.36,1659.42,142965.34043,0.910148560822154
417,2023-02-22,1659.42,1666.0,1596.03,1643.15,160603.85921,0.6176499001444591
418,2023-02-23,1643.15,1678.71,1629.0,1650.36,142678.46957,0.7054356211776456
419,2023-02-24,1650.36,1664.25,1576.0,1607.79,124753.55151,-0.07421470519250721
420,2023-02-25,1607.79,1608.94,1557.85,1594.63,64632.87933,-0.31985800737539494
