,timestamp,ADA/USDT_open,ADA/USDT_high,ADA/USDT_low,ADA/USDT_close,ADA/USDT_volume,ATOM/USDT_open,ATOM/USDT_high,ATOM/USDT_low,ATOM/USDT_close,ATOM/USDT_volume,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,LINK/USDT_open,LINK/USDT_high,LINK/USDT_low,LINK/USDT_close,LINK/USDT_volume,LTC/USDT_open,LTC/USDT_high,LTC/USDT_low,LTC/USDT_close,LTC/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1144,2022-08-15,0.569402,0.581922,0.542778,0.549917,127533990.8,11.58252,11.94678,11.17528,11.39872,139422.34,8.958,9.375,8.627,8.786,585254.28,8.7657,9.0571,8.5029,8.6472,62488.21,63.14,65.3,59.64,60.67,143260.0208,1.81827,1.8662,1.77484,1.81885,100211.85
1145,2022-08-16,0.549917,0.569996,0.547575,0.557021,111867305.3,11.39872,11.6633,11.17581,11.377,203078.84,8.786,8.958,8.639,8.837,573319.18,8.6472,8.8215,8.3725,8.4498,62951.38,60.67,61.75,59.99,61.32,155611.067,1.81885,1.90823,1.78075,1.88681,123579.79
1146,2022-08-17,0.557021,0.583105,0.530812,0.538209,105741404.21,11.377,11.92371,11.1839,11.74249,337970.16,8.837,9.167,8.301,8.378,599359.06,8.4498,8.7415,7.9921,8.0574,75019.47,61.32,64.75,59.67,60.48,224650.6963,1.88681,2.03548,1.84665,1.88376,271398.65
1147,2022-08-18,0.538209,0.543945,0.506001,0.512012,77351144.12,11.74249,12.30504,11.4196,11.44536,389251.6,8.378,8.593,7.989,8.085,898723.67,8.0574,8.235,7.6221,7.6392,75138.27,60.48,61.71,59.32,60.03,112522.8837,1.88376,1.88924,1.77781,1.78814,123709.93
1148,2022-08-19,0.512012,0.512082,0.446119,0.449923,219761529.85,11.44536,11.44536,10.1508,10.74633,584359.05,8.085,8.099,7.227,7.304,1442064.75,7.6392,7.6895,6.8216,6.8968,172618.86,60.03,60.19,53.25,54.01,380564.9378,1.78814,1.78824,1.55105,1.57584,447502.05
1149,2022-08-20,0.449923,0.463074,0.435007,0.45079,124248895.87,10.74633,10.97245,9.9722,10.22662,322180.1,7.304,7.519,7.027,7.226,901749.56,6.8968,7.2012,6.6689,6.8997,89257.28,54.01,55.61,52.64,54.1,196884.7208,1.57584,1.63725,1.52262,1.55977,157215.09
1150,2022-08-21,0.45079,0.472785,0.446787,0.462794,90052940.26,10.22662,10.78533,10.21632,10.6438,169261.97,7.226,7.527,7.161,7.433,720458.38,6.8997,7.1662,6.8794,7.0804,53953.77,54.1,55.99,53.81,55.71,117391.3697,1.55977,1.64745,1.55067,1.63304,182267.15
1151,2022-08-22,0.462794,0.462986,0.437501,0.461404,95727960.86,10.6438,11.12512,10.04616,11.09104,308625.7,7.433,7.448,7.0,7.394,1275593.2,7.0804,7.0849,6.6804,7.0454,83457.89,55.71,57.44,52.29,57.22,266611.3274,1.63304,1.63571,1.51963,1.58793,160343.18
1152,2022-08-23,0.461404,0.469728,0.445701,0.465298,55817175.09,11.09104,12.34225,10.9697,12.12964,570717.56,7.394,7.722,7.184,7.635,728295.32,7.0454,7.3484,6.7744,7.2373,64991.07,57.22,57.72,53.94,57.09,169202.1483,1.58793,1.60634,1.53757,1.59285,176826.75
1153,2022-08-24,0.465298,0.468317,0.453796,0.4578,45794950.64,12.12964,13.42446,11.59595,13.01232,871877.68,7.635,7.777,7.413,7.562,681217.68,7.2373,7.3723,7.014,7.1204,42126.05,57.09,57.67,55.61,56.46,127800.3166,1.59285,1.64185,1.55526,1.59962,177797.98
