,timestamp,DOT/USDT_open,DOT/USDT_high,DOT/USDT_low,DOT/USDT_close,DOT/USDT_volume,XTZ/USDT_open,XTZ/USDT_high,XTZ/USDT_low,XTZ/USDT_close,XTZ/USDT_volume
1148,2023-10-14,3.72,3.762,3.717,3.735,38631.88,0.652,0.669,0.648,0.657,46919.59
1149,2023-10-15,3.735,3.776,3.707,3.754,44743.6,0.657,0.661,0.646,0.652,77226.57
1150,2023-10-16,3.754,3.896,3.737,3.778,122158.38,0.652,0.676,0.65,0.659,56363.39
1151,2023-10-17,3.778,3.779,3.637,3.67,196548.07,0.659,0.661,0.638,0.651,65276.12
1152,2023-10-18,3.67,3.723,3.63,3.654,89722.0,0.651,0.655,0.627,0.631,50097.74
1153,2023-10-19,3.654,3.658,3.57,3.648,53496.7,0.631,0.633,0.616,0.625,75175.58
1154,2023-10-20,3.648,3.8,3.637,3.717,147318.07,0.625,0.652,0.625,0.645,64914.88
1155,2023-10-21,3.717,3.975,3.707,3.909,225439.72,0.645,0.67,0.642,0.67,55927.61
1156,2023-10-22,3.909,3.972,3.81,3.967,117021.35,0.67,0.681,0.653,0.674,43770.79
1157,2023-10-23,3.967,4.366,3.923,4.361,840941.59,0.674,0.711,0.666,0.707,57887.84
1158,2023-10-24,4.361,4.424,4.1,4.188,403589.79,0.707,0.725,0.687,0.71,61441.48
1159,2023-10-25,4.188,4.356,4.147,4.291,257546.97,0.71,0.724,0.692,0.713,43918.14
1160,2023-10-26,4.291,4.451,4.156,4.235,137216.22,0.713,0.731,0.688,0.711,56729.4
1161,2023-10-27,4.235,4.235,4.03,4.134,128207.77,0.711,0.714,0.689,0.708,56968.04
1162,2023-10-28,4.134,4.224,4.13,4.18,90510.47,0.708,0.736,0.707,0.73,46092.38
1163,2023-10-29,4.18,4.355,4.131,4.314,106965.31,0.73,0.753,0.718,0.745,56201.29
1164,2023-10-30,4.314,4.531,4.234,4.523,229449.11,0.745,0.761,0.731,0.753,71275.1
1165,2023-10-31,4.523,4.603,4.28,4.45,160313.21,0.753,0.763,0.72,0.755,96030.22
1166,2023-11-01,4.45,4.801,4.322,4.729,191828.19,0.755,0.794,0.739,0.786,78307.29
1167,2023-11-02,4.729,4.795,4.527,4.634,139065.0,0.786,0.805,0.771,0.8,52778.7
1168,2023-11-03,4.634,4.643,4.46,4.611,105350.52,0.8,0.8,0.765,0.782,38791.52
1169,2023-11-04,4.611,4.776,4.585,4.682,114925.82,0.782,0.791,0.769,0.79,55434.83
1170,2023-11-05,4.682,4.907,4.656,4.762,152278.62,0.79,0.827,0.783,0.809,79511.56
1171,2023-11-06,4.762,4.992,4.68,4.965,276251.78,0.809,0.833,0.793,0.833,68254.55
1172,2023-11-07,4.965,5.006,4.72,4.927,248386.5,0.833,0.85,0.813,0.837,89058.97
1173,2023-11-08,4.927,5.086,4.86,5.032,195905.39,0.837,0.901,0.837,0.868,99504.3
1174,2023-11-09,5.032,5.26,4.49,5.088,331306.66,0.868,0.887,0.76,0.853,93924.71
1175,2023-11-10,5.088,5.316,4.989,5.298,190728.44,0.853,0.9,0.842,0.897,61378.74
1176,2023-11-11,5.298,5.68,5.1,5.561,214320.97,0.897,0.918,0.861,0.913,59524.68
1177,2023-11-12,5.561,5.854,5.347,5.71,313487.17,0.913,0.941,0.89,0.932,72090.77
1178,2023-11-13,5.71,5.881,5.345,5.35,267701.83,0.932,0.948,0.886,0.888,78610.37
1179,2023-11-14,5.35,5.521,5.01,5.195,220889.93,0.888,0.95,0.82,0.851,79343.38
1180,2023-11-15,5.195,5.637,5.185,5.563,244556.96,0.851,0.888,0.838,0.887,115711.93
1181,2023-11-16,5.563,5.815,5.285,5.354,218787.12,0.887,0.902,0.83,0.837,63462.2
1182,2023-11-17,5.354,5.484,5.051,5.244,126404.96,0.837,0.857,0.812,0.852,78567.59
1183,2023-11-18,5.244,5.29,4.99,5.29,161086.93,0.852,0.852,0.805,0.84,66281.03
1184,2023-11-19,5.29,5.481,5.179,5.432,144476.28,0.84,0.862,0.821,0.859,65315.65
1185,2023-11-20,5.432,5.561,5.26,5.301,214447.02,0.859,0.867,0.836,0.842,69743.75
1186,2023-11-21,5.301,5.327,4.828,4.858,293734.13,0.842,0.852,0.765,0.766,65886.98
1187,2023-11-22,4.858,5.286,4.85,5.173,355828.41,0.766,0.811,0.762,0.807,473958.3
1188,2023-11-23,5.173,5.219,5.086,5.135,169253.23,0.807,0.819,0.797,0.813,101212.74
1189,2023-11-24,5.135,5.294,5.12,5.241,198404.86,0.813,0.828,0.81,0.822,182974.67
1190,2023-11-25,5.241,5.384,5.215,5.327,194423.72,0.822,0.852,0.817,0.846,122428.3
1191,2023-11-26,5.327,5.413,5.15,5.325,246932.87,0.846,0.849,0.818,0.841,67586.89
1192,2023-11-27,5.325,5.378,5.04,5.156,217612.77,0.841,0.845,0.786,0.807,65034.65
1193,2023-11-28,5.156,5.314,5.104,5.275,208383.18,0.807,0.823,0.785,0.813,63920.19
1194,2023-11-29,5.275,5.384,5.151,5.162,256212.27,0.813,0.844,0.81,0.824,84542.1
1195,2023-11-30,5.162,5.579,5.119,5.47,386816.8,0.824,0.834,0.811,0.834,69831.06
1196,2023-12-01,5.47,5.524,5.369,5.471,187244.42,0.834,0.846,0.825,0.843,109792.24
1197,2023-12-02,5.471,5.604,5.451,5.562,199556.16,0.843,0.874,0.841,0.869,83774.78
1198,2023-12-03,5.562,5.621,5.436,5.54,175847.27,0.869,0.872,0.837,0.855,55954.87
1199,2023-12-04,5.54,5.72,5.431,5.632,257461.66,0.855,0.88,0.841,0.876,105606.48
1200,2023-12-05,5.632,5.945,5.514,5.905,551712.92,0.876,0.896,0.857,0.894,89707.39
1201,2023-12-06,5.905,6.205,5.776,6.045,410975.51,0.894,0.905,0.866,0.881,87563.35
1202,2023-12-07,6.045,6.298,5.907,6.243,265036.26,0.881,0.925,0.879,0.908,187476.02
1203,2023-12-08,6.243,6.914,6.168,6.835,433425.71,0.908,0.946,0.902,0.945,111118.27
1204,2023-12-09,6.835,7.69,6.833,7.106,411090.4,0.945,0.997,0.945,0.974,134452.25
1205,2023-12-10,7.106,7.348,6.965,7.348,234558.0,0.974,0.988,0.941,0.962,82250.13
1206,2023-12-11,7.348,7.36,6.3,6.709,235036.66,0.962,0.968,0.82,0.873,92386.92
1207,2023-12-12,6.709,7.33,6.696,7.132,309901.94,0.873,0.932,0.871,0.929,92158.84
1208,2023-12-13,7.132,7.646,6.62,7.596,234309.77,0.929,0.933,0.87,0.918,83468.66
1209,2023-12-14,7.596,7.767,7.0,7.508,338408.62,0.918,0.98,0.918,0.979,132036.02
1210,2023-12-15,7.508,7.566,6.933,6.95,232320.93,0.979,0.98,0.912,0.916,96995.53
1211,2023-12-16,6.95,7.351,6.867,7.094,143817.02,0.916,0.951,0.902,0.944,152052.41
1212,2023-12-17,7.094,7.163,6.75,6.786,138744.62,0.944,0.946,0.905,0.909,52192.54
1213,2023-12-18,6.786,6.886,6.385,6.884,181073.15,0.909,0.916,0.84,0.893,51475.75
1214,2023-12-19,6.884,7.048,6.616,6.705,160124.64,0.893,0.912,0.859,0.863,130024.92
1215,2023-12-20,6.705,7.13,6.62,6.949,189443.03,0.863,0.907,0.857,0.883,137899.27
1216,2023-12-21,6.949,8.433,6.913,8.421,645707.79,0.883,0.933,0.881,0.929,72919.18
