,timestamp,ETH/USDT_open,ETH/USDT_high,ETH/USDT_low,ETH/USDT_close,ETH/USDT_volume,SOL/USDT_open,SOL/USDT_high,SOL/USDT_low,SOL/USDT_close,SOL/USDT_volume,spread_zscore
722,2020-12-24,585.81,614.82,566.18,612.23,36961.60865,1.1988,1.366,1.1563,1.3655,79788.44,0.8209619993457311
723,2020-12-25,612.23,633.61,604.75,626.73,25099.58212,1.3655,1.4657,1.3212,1.4451,828565.37,1.0439793036312712
724,2020-12-26,626.73,652.4,616.18,636.97,32019.05856,1.4451,1.4484,1.3144,1.3228,537170.51,1.2483847888919062
725,2020-12-27,636.97,717.32,626.09,684.45,73563.12271,1.3228,1.4133,1.2646,1.302,1193014.94,2.114488701872767
726,2020-12-28,684.45,748.28,682.39,730.29,63866.13312,1.302,1.5242,1.2947,1.5172,885196.0,2.760291311473638
727,2020-12-29,730.29,740.35,690.14,731.7,57224.29971,1.5172,1.7302,1.4407,1.6763,1397896.71,2.592952232833595
728,2020-12-30,731.7,758.0,717.44,752.14,32619.86443,1.6763,1.6842,1.5285,1.532,249221.01,2.724790620110242
729,2020-12-31,752.14,755.49,722.69,735.85,29745.61924,1.532,1.5493,1.4265,1.51,232363.93,2.2225035479566517
730,2021-01-01,735.85,749.0,715.52,729.06,20149.15831,1.51,1.858,1.5,1.8399,375820.5,1.890861565317492
731,2021-01-02,729.06,787.45,701.0,774.42,45554.57623,1.8399,1.9913,1.7186,1.7977,575209.67,2.3846966939224123
732,2021-01-03,774.42,1009.13,768.88,978.27,129736.62133,1.7977,2.3729,1.7958,2.1667,968039.09,4.027338991665715
733,2021-01-04,978.27,1159.98,890.08,1042.28,280980.29458,2.1667,2.489,1.871,2.489,1240981.96,3.7014596794304313
734,2021-01-05,1042.28,1134.09,975.08,1100.25,180636.79602,2.489,2.5003,2.0704,2.1569,1008899.5,3.483644981561856
735,2021-01-06,1100.25,1211.92,1057.87,1208.46,150381.10923,2.1569,2.1816,1.909,1.9304,690602.02,3.521852475728609
736,2021-01-07,1208.46,1288.01,1150.0,1224.46,138876.34333,1.9304,2.6325,1.9304,2.3679,1267084.31,3.0557885914731724
737,2021-01-08,1224.46,1273.14,1066.0,1216.13,244003.75919,2.3679,3.8023,2.1877,3.2186,1163049.75,2.6064036042159504
738,2021-01-09,1216.13,1301.49,1172.17,1275.62,124175.02836,3.2186,3.6702,2.9411,3.4103,488187.22,2.5735301398937027
